Sample,Material,Feature,BP,Error,SiteCode,Site,y,x,total_houses,count
SNU12-019,charcoal,I지점 14호 주거지,1720,40,Juk-dong,대전 죽동,36.377,127.333,47,5
SNU12-R015,charcoal,I지점 26호,1880,40,Juk-dong,대전 죽동,36.377,127.333,47,5
SNU12-020,charcoal,I지점 27호,1800,40,Juk-dong,대전 죽동,36.377,127.333,47,5
SNU12-021,charcoal,I지점 34호,1820,40,Juk-dong,대전 죽동,36.377,127.333,47,5
SNU12-R016,charcoal,I지점 46호,1850,50,Juk-dong,대전 죽동,36.377,127.333,47,5
NA,charcoal,백제 7호 주거지-1,1715,21,Bokryong-dong-1,대전 복용동 새터말,36.3369,127.3296,101,17
NA,charcoal,백제 8호 주거지,1796,32,Bokryong-dong-1,대전 복용동 새터말,36.3369,127.3296,101,17
NA,charcoal,백제 26호 주거지,1722,14,Bokryong-dong-1,대전 복용동 새터말,36.3369,127.3296,101,17
NA,charcoal,백제 28호 주거지,1710,24,Bokryong-dong-1,대전 복용동 새터말,36.3369,127.3296,101,17
NA,charcoal,백제 40호 주거지,1874,32,Bokryong-dong-1,대전 복용동 새터말,36.3369,127.3296,101,17
NA,charcoal,백제 42호 주거지,1742,27,Bokryong-dong-1,대전 복용동 새터말,36.3369,127.3296,101,17
NA,charcoal,백제 43호 주거지,1696,25,Bokryong-dong-1,대전 복용동 새터말,36.3369,127.3296,101,17
NA,charcoal,백제 50호 주거지,1723,25,Bokryong-dong-1,대전 복용동 새터말,36.3369,127.3296,101,17
NA,charcoal,백제 53호 주거지,1707,35,Bokryong-dong-1,대전 복용동 새터말,36.3369,127.3296,101,17
NA,charcoal,백제 56호 주거지,1681,14,Bokryong-dong-1,대전 복용동 새터말,36.3369,127.3296,101,17
NA,charcoal,백제 57호 주거지,1710,24,Bokryong-dong-1,대전 복용동 새터말,36.3369,127.3296,101,17
NA,charcoal,37호 주거지(동쪽 아궁이),1740,30,Bokryong-dong-1,대전 복용동유적,36.3369,127.3296,101,17
NA,charcoal,8호 주거지,1700,30,Bokryong-dong-1,대전 복용동유적,36.3369,127.3296,101,17
NA,charcoal,10호 주거지,1760,30,Bokryong-dong-1,대전 복용동유적,36.3369,127.3296,101,17
NA,charcoal,12호 주거지,1800,30,Bokryong-dong-1,대전 복용동유적,36.3369,127.3296,101,17
NA,charcoal,23호 주거지,1790,30,Bokryong-dong-1,대전 복용동유적,36.3369,127.3296,101,17
NA,charcoal,27호 주거지(3-1구역),1800,30,Bokryong-dong-1,대전 복용동유적,36.3369,127.3296,101,17
KR10-198,charcoal,3지역 5호 주거지,1690,50,Bokryong-dong-2,대전 복룡동 당산마을 유적,36.36,127.324,42,12
KR10-199,charcoal,3지역 7호 주거지,1650,50,Bokryong-dong-2,대전 복룡동 당산마을 유적,36.36,127.324,42,12
KR10-204,charcoal,4지역 12호 주거지,1590,50,Bokryong-dong-2,대전 복룡동 당산마을 유적,36.36,127.324,42,12
KR10-205,charcoal,4지역 13호 주거지,1630,50,Bokryong-dong-2,대전 복룡동 당산마을 유적,36.36,127.324,42,12
KR10-206,charcoal,4지역 14호 주거지,1650,50,Bokryong-dong-2,대전 복룡동 당산마을 유적,36.36,127.324,42,12
KR10-207,charcoal,4지역 17호 주거지,1750,50,Bokryong-dong-2,대전 복룡동 당산마을 유적,36.36,127.324,42,12
KR10-208,charcoal,4지역 18호 주거지,1660,40,Bokryong-dong-2,대전 복룡동 당산마을 유적,36.36,127.324,42,12
KR10-200,charcoal,4지역 1호 주거지,1570,50,Bokryong-dong-2,대전 복룡동 당산마을 유적,36.36,127.324,42,12
KR10-209,charcoal,4지역 20호 주거지,1700,50,Bokryong-dong-2,대전 복룡동 당산마을 유적,36.36,127.324,42,12
KR10-211,charcoal,4지역 23호 주거지,1720,40,Bokryong-dong-2,대전 복룡동 당산마을 유적,36.36,127.324,42,12
KR10-212,charcoal,4지역 27호 주거지,1720,50,Bokryong-dong-2,대전 복룡동 당산마을 유적,36.36,127.324,42,12
KR10-201,charcoal,4지역 6호 주거지1,1605,36,Bokryong-dong-2,대전 복룡동 당산마을 유적,36.36,127.324,42,12
SNU09-247,charcoal,원삼국시대 주거지 116호,1800,40,Yonggye-dong,대전 용계동 유적,36.324,127.33,448,8
SNU09-248,charcoal,원삼국시대 주거지 118호,1950,60,Yonggye-dong,대전 용계동 유적,36.324,127.33,448,8
SNU09-241,charcoal,원삼국시대 주거지 24호,1840,40,Yonggye-dong,대전 용계동 유적,36.324,127.33,448,8
SNU09-242,charcoal,원삼국시대 주거지 28호,1880,40,Yonggye-dong,대전 용계동 유적,36.324,127.33,448,8
SNU09-243,charcoal,원삼국시대 주거지 34호,1810,50,Yonggye-dong,대전 용계동 유적,36.324,127.33,448,8
SNU09-244,charcoal,원삼국시대 주거지 40호,1870,40,Yonggye-dong,대전 용계동 유적,36.324,127.33,448,8
SNU09-245,charcoal,원삼국시대 주거지 48호,1900,50,Yonggye-dong,대전 용계동 유적,36.324,127.33,448,8
SNU09-246,charcoal,원삼국시대 주거지 67호,1720,40,Yonggye-dong,대전 용계동 유적,36.324,127.33,448,8
SNU11-545,wood,"1호 구획저택 6,7호",1660,40,Naseong-ri,연기 나성리유적,36.4827,127.2642,30,5
SNU12-526,wood,"1호 구획저택 6,7호",1540,40,Naseong-ri,연기 나성리유적,36.4827,127.2642,30,5
SNU12-525,charcoal,2호 구획저택 1호,1530,40,Naseong-ri,연기 나성리유적,36.4827,127.2642,30,5
SNU12-524,charcoal,7호 구획저택 3호,1610,40,Naseong-ri,연기 나성리유적,36.4827,127.2642,30,5
NA,NA,3호 수혈유구,1790,30,Naseong-ri,세종 나성동 독락정,36.4827,127.2642,30,5
KR11-013,charcoal,"3-1,2-C지점 백제주거지 11호",1520,50,Daepyeong-ri,연기 대평리유적,36.471,127.2748,164,13
KR11-016,charcoal,"3-1,2-C지점 백제주거지 25호",1520,40,Daepyeong-ri,연기 대평리유적,36.471,127.2748,164,13
KR11-017,charcoal,"3-1,2-C지점 백제주거지 30호",1570,50,Daepyeong-ri,연기 대평리유적,36.471,127.2748,164,13
KR11-010,charcoal,"3-1,2-C지점 백제주거지 철자형 1호",1660,50,Daepyeong-ri,연기 대평리유적,36.471,127.2748,164,13
KR11-012,charcoal,"3-1,2-C지점 백제주거지 철자형 4호",1500,50,Daepyeong-ri,연기 대평리유적,36.471,127.2748,164,13
KR10-295,charcoal,A지점 원삼국 15호,1730,40,Daepyeong-ri,연기 대평리유적,36.471,127.2748,164,13
KR10-297,charcoal,A지점 원삼국 16호,1670,40,Daepyeong-ri,연기 대평리유적,36.471,127.2748,164,13
KR10-296,charcoal,A지점 원삼국 17호,1730,50,Daepyeong-ri,연기 대평리유적,36.471,127.2748,164,13
KR10-294,charcoal,A지점 원삼국 25호,1620,50,Daepyeong-ri,연기 대평리유적,36.471,127.2748,164,13
KR10-298,charcoal,A지점 원삼국 39호,1670,50,Daepyeong-ri,연기 대평리유적,36.471,127.2748,164,13
SNU10-656,charcoal,B지구 KC-033,1730,40,Daepyeong-ri,연기 대평리유적,36.471,127.2748,164,13
SNU10-657,charcoal,B지구 KC-071,1730,40,Daepyeong-ri,연기 대평리유적,36.471,127.2748,164,13
SNU10-658,charcoal,B지구 KC-078,1950,50,Daepyeong-ri,연기 대평리유적,36.471,127.2748,164,13
SNU11-918,charcoal,2호,1800,40,Yongho·Hapgang-ri,연기 용호리 용산유적(연기 용호리 용산 합강리유적),36.52,127.3303,19,8
SNU11-919,charcoal,3호,1850,40,Yongho·Hapgang-ri,연기 용호리 용산유적(연기 용호리 용산 합강리유적),36.52,127.3303,19,8
SNU11-921,charcoal,6호,1780,40,Yongho·Hapgang-ri,연기 용호리 용산유적(연기 용호리 용산 합강리유적),36.52,127.3303,19,8
SNU11-922,charcoal,9호,1720,40,Yongho·Hapgang-ri,연기 용호리 용산유적(연기 용호리 용산 합강리유적),36.52,127.3303,19,8
SNU12-086,charcoal,2호,1810,40,Yongho·Hapgang-ri,연기 합강리 생줄유적(연기 용호리 용산 합강리유적),36.52,127.3303,19,8
SNU12-089,charcoal,3호,1850,40,Yongho·Hapgang-ri,연기 합강리 생줄유적(연기 용호리 용산 합강리유적),36.52,127.3303,19,8
SNU12-090,charcoal,4호,1730,40,Yongho·Hapgang-ri,연기 합강리 생줄유적(연기 용호리 용산 합강리유적),36.52,127.3303,19,8
SNU12-091,charcoal,5호,1810,40,Yongho·Hapgang-ri,연기 합강리 생줄유적(연기 용호리 용산 합강리유적),36.52,127.3303,19,8
KCL16-221,charcoal,4호 주거지,1859,30,Songjeol-dong,청주 문암동 40번지 유적,36.661,127.457,558,119
KCL16-223,charcoal,1호 주거지,2009,30,Songjeol-dong,청주 문암동 40번지 유적,36.661,127.457,558,119
