Sample,Material,Feature,BP,Error,SiteCode,Site,y,x,total_houses,count
SNU07-403,charcoal,1호,1700,60,Yeonsan-dong,광주 금곡유적 B,35.114,126.747,612,42
SNU07-404,charcoal,3호,1690,60,Yeonsan-dong,광주 금곡유적 B,35.114,126.747,612,42
SNU05-452,charcoal,19호,1590,60,Dongnim-dong,광주 동림동유적 2,35.187,126.867,98,7
SNU05-373,charcoal,22호,1780,50,Dongnim-dong,광주 동림동유적 2,35.187,126.867,98,7
SNU05-453,charcoal,28호,1650,50,Dongnim-dong,광주 동림동유적 2,35.187,126.867,98,7
SNU05-454,charcoal,34호,1700,50,Dongnim-dong,광주 동림동유적 2,35.187,126.867,98,7
SNU05-378,charcoal,48호,1630,40,Dongnim-dong,광주 동림동유적 2,35.187,126.867,98,7
SNU05-375,charcoal,77호,2050,40,Dongnim-dong,광주 동림동유적 2,35.187,126.867,98,7
SNU05-374,charcoal,80호,1910,40,Dongnim-dong,광주 동림동유적 2,35.187,126.867,98,7
SNU11-1047,charcoal,35호 주거지 부뚜막,1720,60,Sanjeong-dong,광주 산정동 지실Ⅱ,35.173,126.793,164,11
SNU11-1048,charcoal,61호 주거지 부뚜막,1700,40,Sanjeong-dong,광주 산정동 지실Ⅱ,35.173,126.793,164,11
SNU11-1049,charcoal,62호 주거지 남서벽 모서리,1650,40,Sanjeong-dong,광주 산정동 지실Ⅱ,35.173,126.793,164,11
SNU11-1051,charcoal,88호 주거지 부뚜막,1720,40,Sanjeong-dong,광주 산정동 지실Ⅱ,35.173,126.793,164,11
SNU11-317,charcoal,지실-2 광주 산정동 지실 1호 주거지 집중출토지점,1798,39,Sanjeong-dong,광주 산정동 지실유적 Ⅰ,35.173,126.793,164,11
SNU11-319,charcoal,지실-4 광주 산정동 지실 4호 주거지 집중출토지점,1710,40,Sanjeong-dong,광주 산정동 지실유적 Ⅰ,35.173,126.793,164,11
SNU06-781,charcoal,1구역 34호,1800,60,Sanjeong-dong,광주 산정동유적,35.173,126.793,164,11
SNU06-782,charcoal,1구역 35호,1880,60,Sanjeong-dong,광주 산정동유적,35.173,126.793,164,11
SNU06-783,charcoal,1구역 46호,1800,60,Sanjeong-dong,광주 산정동유적,35.173,126.793,164,11
SNU06-784,charcoal,1구역 48호,1880,60,Sanjeong-dong,광주 산정동유적,35.173,126.793,164,11
SNU06-785,charcoal,1구역 51호,1850,60,Sanjeong-dong,광주 산정동유적,35.173,126.793,164,11
SNU06-1290,charcoal,3호 주거지 화덕부,1780,50,Yeonsan-dong,광주 산정유적 C,35.114,126.747,612,42
SNU06-1291,charcoal,34호 주거지 벽구내부,1740,50,Yeonsan-dong,광주 산정유적 C,35.114,126.747,612,42
SNU10-464,charcoal,윗마을 19호주거지 북쪽바닥면,1822,32,Seonam-dong,광주 선암동 유적,35.1575,126.776,310,13
SNU10-472,charcoal,윗마을 158호주거지 바닥면,1646,32,Seonam-dong,광주 선암동 유적,35.1575,126.776,310,13
SNU10-468,charcoal,윗마을 201호주거지 중앙부,1930,50,Seonam-dong,광주 선암동 유적,35.1575,126.776,310,13
SNU10-469,charcoal,윗마을 205호주거지 바닥면,1850,50,Seonam-dong,광주 선암동 유적,35.1575,126.776,310,13
SNU10-471,charcoal,윗마을 216호주거지 부뚜막 내부바닥,1790,50,Seonam-dong,광주 선암동 유적,35.1575,126.776,310,13
SNU10-470,charcoal,윗마을 218호주거지 부뚜막 내부바닥,1820,50,Seonam-dong,광주 선암동 유적,35.1575,126.776,310,13
SNU10-462,charcoal,윗마을 41호주거지 북쪽바닥면,1750,40,Seonam-dong,광주 선암동 유적,35.1575,126.776,310,13
SNU10-466,charcoal,윗마을 48호주거지 주거상면 동쪽,1740,40,Seonam-dong,광주 선암동 유적,35.1575,126.776,310,13
SNU10-479,charcoal,아랫마을 79호주거지 부뚜막 내부,1670,50,Seonam-dong,광주 선암동 유적,35.1575,126.776,310,13
SNU10-477,charcoal,아랫마을 47호주거지 서벽 바닥 위 10cm 주변,1820,36,Seonam-dong,광주 선암동 유적,35.1575,126.776,310,13
SNU10-475,charcoal,아랫마을 41호주거지 부뚜막 내부 바닥,1700,50,Seonam-dong,광주 선암동 유적,35.1575,126.776,310,13
SNU10-474,charcoal,아랫마을 22호주거지 바닥,1710,60,Seonam-dong,광주 선암동 유적,35.1575,126.776,310,13
SNU11-R218,wood,윗마을 1호 지상건물지 주공 1 목주,1530,50,Seonam-dong,광주 선암동 유적 Ⅰ,35.1575,126.776,310,13
SNU10-1131,charcoal,6호 주거지,1920,40,Sinchang-dong,광주 신창동,35.195,126.848,13,10
SNU10-1132,charcoal,7호 주거지,1750,50,Sinchang-dong,광주 신창동,35.195,126.848,13,10
SNU10-1133,charcoal,8호 주거지 바닥 바로 위,1810,50,Sinchang-dong,광주 신창동,35.195,126.848,13,10
SNU10-1134,charcoal,9호 주거지 서쪽 부근 바닥,1870,60,Sinchang-dong,광주 신창동,35.195,126.848,13,10
SNU10-1135,charcoal,11호 주거지,1690,60,Sinchang-dong,광주 신창동,35.195,126.848,13,10
SNU10-1136,charcoal,13호 주거지,1770,40,Sinchang-dong,광주 신창동,35.195,126.848,13,10
SNU06-137,charcoal,2호,1900,50,Sinchang-dong,광주 신창동유적,35.195,126.848,13,10
SNU06-138,charcoal,3호,1855,36,Sinchang-dong,광주 신창동유적,35.195,126.848,13,10
SNU06-140,charcoal,4호,1980,60,Sinchang-dong,광주 신창동유적,35.195,126.848,13,10
SNU06-141,charcoal,6호,1875,36,Sinchang-dong,광주 신창동유적,35.195,126.848,13,10
KISTAMS 1700102,NA,1지점 3호 주거지,1644,26,Yeonsan-dong,광주 연산동 산정유적,35.114,126.747,612,42
KISTAMS 1700103,NA,1지점 7호 주거지,1764,31,Yeonsan-dong,광주 연산동 산정유적,35.114,126.747,612,42
KISTAMS 1700104,NA,1지점 9호 주거지,1665,26,Yeonsan-dong,광주 연산동 산정유적,35.114,126.747,612,42
KISTAMS 1700107,NA,2지점 19호 주거지,1770,30,Yeonsan-dong,광주 연산동 산정유적,35.114,126.747,612,42
KISTAMS 1700109,NA,2지점 20호 주거지,1735,26,Yeonsan-dong,광주 연산동 산정유적,35.114,126.747,612,42
KISTAMS 1700110,NA,2지점 21호 주거지,1727,28,Yeonsan-dong,광주 연산동 산정유적,35.114,126.747,612,42
KISTAMS 1700111,NA,2지점 22호 주거지,1777,22,Yeonsan-dong,광주 연산동 산정유적,35.114,126.747,612,42
NA,NA,1지점 5호 주거지,1770,30,Yeonsan-dong,광주 연산동 산정유적,35.114,126.747,612,42
NA,NA,1지점 6호 주거지,1770,30,Yeonsan-dong,광주 연산동 산정유적,35.114,126.747,612,42
NA,NA,2지점 16호 주거지,1720,30,Yeonsan-dong,광주 연산동 산정유적,35.114,126.747,612,42
NA,NA,2지점 14 주거지,1790,30,Yeonsan-dong,광주 연산동 산정유적,35.114,126.747,612,42
NA,NA,2지점 7호 주거지,1760,30,Yeonsan-dong,광주 연산동 산정유적,35.114,126.747,612,42
NA,NA,2지점 1호 주거지,1750,30,Yeonsan-dong,광주 연산동 산정유적,35.114,126.747,612,42
PLD-36822,NA,산정지구 1호 주거지 부뚜막,1751,19,Yeonsan-dong,광주 연산동유적,35.114,126.747,612,42
PLD-36824,NA,산정지구 26호 주거지 남벽 벽구내,1753,18,Yeonsan-dong,광주 연산동유적,35.114,126.747,612,42
PLD-36825,NA,산정지구  69호 주거지,1722,19,Yeonsan-dong,광주 연산동유적,35.114,126.747,612,42
PLD-36826,NA,금곡지구 5호 주거지,1682,20,Yeonsan-dong,광주 연산동유적,35.114,126.747,612,42
NA,charcoal,가-30호 수혈주거지,1690,22,Yeonsan-dong,광주 연산동유적(1구역),35.114,126.747,612,42
NA,charcoal,나-19호 수혈주거지,1580,30,Yeonsan-dong,광주 연산동유적(1구역),35.114,126.747,612,42
NA,charcoal,나-13호 수혈주거지,1760,30,Yeonsan-dong,광주 연산동유적(1구역),35.114,126.747,612,42
NA,charcoal,나-53호 수혈주거지,1700,30,Yeonsan-dong,광주 연산동유적(1구역),35.114,126.747,612,42
NA,charcoal,나-49호 수혈주거지,1700,30,Yeonsan-dong,광주 연산동유적(1구역),35.114,126.747,612,42
NA,charcoal,라-44호 수혈주거지,1680,30,Yeonsan-dong,광주 연산동유적(1구역),35.114,126.747,612,42
NA,charcoal,라-39호 수혈주거지,1720,30,Yeonsan-dong,광주 연산동유적(1구역),35.114,126.747,612,42
NA,charcoal,라-86호 수혈주거지,1660,22,Yeonsan-dong,광주 연산동유적(1구역),35.114,126.747,612,42
NA,charcoal,라-97호 수혈주거지,1657,18,Yeonsan-dong,광주 연산동유적(1구역),35.114,126.747,612,42
NA,charcoal,마-13호 주거지,1700,30,Yeonsan-dong,광주 연산동유적(1구역),35.114,126.747,612,42
NA,charcoal,3-1구역 3호 주거지,1750,30,Yeonsan-dong,광주 연산동유적(3구역),35.114,126.747,612,42
NA,charcoal,3-1구역 8호 주거지,1720,30,Yeonsan-dong,광주 연산동유적(3구역),35.114,126.747,612,42
NA,seed,3-1구역 21호 주거지(복숭아씨앗),1706,25,Yeonsan-dong,광주 연산동유적(3구역),35.114,126.747,612,42
NA,charcoal,3-1구역 29호 주거지,1740,40,Yeonsan-dong,광주 연산동유적(3구역),35.114,126.747,612,42
NA,charcoal,3-1구역 34호 주거지,1700,30,Yeonsan-dong,광주 연산동유적(3구역),35.114,126.747,612,42
NA,charcoal,3-1구역 38호 주거지,1730,40,Yeonsan-dong,광주 연산동유적(3구역),35.114,126.747,612,42
NA,charcoal,3-1구역 41호 주거지,1720,40,Yeonsan-dong,광주 연산동유적(3구역),35.114,126.747,612,42
NA,charcoal,3-7구역 5호 주거지,1760,30,Yeonsan-dong,광주 연산동유적(3구역),35.114,126.747,612,42
NA,charcoal,3-7구역 10호 주거지,1810,30,Yeonsan-dong,광주 연산동유적(3구역),35.114,126.747,612,42
NA,charcoal,3-7구역 11호 주거지,1840,50,Yeonsan-dong,광주 연산동유적(3구역),35.114,126.747,612,42
NA,charcoal,3-7구역 12호 주거지,1740,30,Yeonsan-dong,광주 연산동유적(3구역),35.114,126.747,612,42
PLD-23410,charcoal,57호 주거지,1635,20,Oseon-dong,광주 오선동유적,35.2024,126.7998,372,5
PLD-23411,charcoal,33호 주거지,1675,20,Oseon-dong,광주 오선동유적,35.2024,126.7998,372,5
PLD-23412,charcoal,14호 주거지,1680,20,Oseon-dong,광주 오선동유적,35.2024,126.7998,372,5
PLD-23413,charcoal,146호 주거지,1750,20,Oseon-dong,광주 오선동유적,35.2024,126.7998,372,5
PLD-23414,charcoal,198호 주거지,1710,20,Oseon-dong,광주 오선동유적,35.2024,126.7998,372,5
NA,charcoal,A지구 삼국 4호 주거지,1740,30,Yongdu-dong,광주 용두동 용두유적,35.217,126.876,34,5
SNU06-579,Charcoal,삼국 3호 주거지 1,1710,36,Yongdu-dong,광주 용두동 유적,35.217,126.876,34,5
SNU06-583,Charcoal,삼국 4호 주거지 1,1630,50,Yongdu-dong,광주 용두동 유적,35.217,126.876,34,5
SNU06-572,Charcoal,삼국 6호 주거지1,1805,43,Yongdu-dong,광주 용두동 유적,35.217,126.876,34,5
SNU06-567,Charcoal,삼국 7호 주거지,1710,50,Yongdu-dong,광주 용두동 유적,35.217,126.876,34,5
미상,charcoal,27호 주거지,1790,30,Yongsan-dong,광주 용산동유적,35.1189,126.9178,40,6
미상,charcoal,28호 주거지,1690,40,Yongsan-dong,광주 용산동유적,35.1189,126.9178,40,6
미상,charcoal,35호 주거지 부뚜막,1660,40,Yongsan-dong,광주 용산동유적,35.1189,126.9178,40,6
미상,charcoal,36호 주거지,1740,40,Yongsan-dong,광주 용산동유적,35.1189,126.9178,40,6
미상,charcoal,39호 주거지 부뚜막,1795,29,Yongsan-dong,광주 용산동유적,35.1189,126.9178,40,6
미상,charcoal,7호 주거지,1700,40,Yongsan-dong,광주 용산동유적,35.1189,126.9178,40,6
NA,NA,19호 주거지(3-1구역),1660,40,Hanam-dong,광주 하남3지구,35.196,126.7965,557,12
NA,NA,145호 주거지(사주식),1660,30,Hanam-dong,광주 하남3지구,35.196,126.7965,557,12
NA,NA,"152호 주거지(무주식, 화재)",1730,30,Hanam-dong,광주 하남3지구,35.196,126.7965,557,12
NA,NA,153호 주거지(사주식),1760,30,Hanam-dong,광주 하남3지구,35.196,126.7965,557,12
NA,NA,126호 주거지,1755,25,Hanam-dong,광주 하남3지구,35.196,126.7965,557,12
SNU06-775,charcoal,1구역 22호,1930,60,Hanam-dong,광주 하남동유적,35.196,126.7965,557,12
SNU06-777,charcoal,1구역 23호,1860,60,Hanam-dong,광주 하남동유적,35.196,126.7965,557,12
SNU06-776,charcoal,1구역 249호,1660,60,Hanam-dong,광주 하남동유적,35.196,126.7965,557,12
SNU06-773,charcoal,1구역 289호,1760,60,Hanam-dong,광주 하남동유적,35.196,126.7965,557,12
SNU06-774,charcoal,1구역 4호,1660,60,Hanam-dong,광주 하남동유적,35.196,126.7965,557,12
SNU06-779,charcoal,1구역 84호,1520,60,Hanam-dong,광주 하남동유적,35.196,126.7965,557,12
NA,NA,3호 주거지,1710,40,Hanam-dong,광주 하남동유적(영해),35.196,126.7965,557,12
NA,NA,20호 주거지,1720,30,Heukseok-dong,광주 흑석'다' 유적,35.175,126.797,44,10
NA,NA,23호 주거지,1740,30,Heukseok-dong,광주 흑석'다' 유적,35.175,126.797,44,10
NA,NA,4호 주거지,1710,30,Heukseok-dong,광주 흑석'다' 유적,35.175,126.797,44,10
NA,NA,2호 주거지,1660,30,Heukseok-dong,광주 흑석'다' 유적,35.175,126.797,44,10
NA,NA,13호 주거지,1830,30,Heukseok-dong,광주 흑석동유적,35.175,126.797,44,10
NA,NA,19호 주거지,1820,30,Heukseok-dong,광주 흑석동유적,35.175,126.797,44,10
NA,NA,16호 주거지,1780,30,Heukseok-dong,광주 흑석동유적,35.175,126.797,44,10
NA,NA,9호 주거지,1790,30,Heukseok-dong,광주 흑석동유적,35.175,126.797,44,10
NA,NA,12호 주거지,1650,30,Heukseok-dong,광주 흑석동유적,35.175,126.797,44,10
NA,NA,7호 주거지,1690,30,Heukseok-dong,광주 흑석동유적,35.175,126.797,44,10
NA,NA,2호 삼국시대 주거지,1750,40,Taemok-ri,담양 응용리유적,35.2611,126.8969,1043,21
NA,NA,17호 삼국시대 주거지,1795,40,Taemok-ri,담양 응용리유적,35.2611,126.8969,1043,21
NA,NA,18호 삼국시대 주거지,1810,40,Taemok-ri,담양 응용리유적,35.2611,126.8969,1043,21
NA,NA,20호 삼국시대 주거지,1695,40,Taemok-ri,담양 응용리유적,35.2611,126.8969,1043,21
SNU07-916,NA,96호-1,1848,42,Taemok-ri,담양 태목리(재측정실험),35.2611,126.8969,1043,21
SNU07-917,NA,101호-1,1782,34,Taemok-ri,담양 태목리(재측정실험),35.2611,126.8969,1043,21
